BC - FGTS: 1.906,04;;;;;FGTS Contrib.: 0,00;;;;;;FGTS: 120,49;;;;;;;;;BC - IRRF: 150.849,16;;;;
;;;;;;;;;;;;;;;;BC - INSS: 1.506,15;;;;;;;;
Total Geral;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Total de Proventos:;;;;1.472.238,78;;;;;;;;;Total de Descontos:;;318.240,39;;
;;;;;;;;;;;;;;;;;;;;;;Admitidos:;;
;;;;;;;;;;;;;;;;;;;;Líquido a Receber:;;1.153.998,39;;
;;;;;;;;;;;;;;;;;;;;;;Demitidos:;;
Resumo de INSS e FGTS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;INSS;;;;;;;;;FGTS;;;;;
;Tipo de Folha;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Base de Cálculo;;;;Valor;;;Base de Cálculo;;;;Valor;;;Contrib. Social;
;;;;;;;;;;;;;;;;;;;;;;;;Fim
Resumo Geral do Mês/Período;;;;;;;;;;;;;;;;;;;;;;;;Pag.: 3
Empresa:;;BRAGA VEICULOS LTDA - CNPJ: 04.011.946/0001-04;;;;;;;;;;;;;;;;;;;;;;Fortes Pessoal
Mês/Ano: 04/2026 a 05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Resumo de INSS e FGTS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;INSS;;;;;;;;;FGTS;;;;;
;Tipo de Folha;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Base de Cálculo;;;;Valor;;;Base de Cálculo;;;;Valor;;;Contrib. Social;
;;;;;;;;;;;;;;;;;;;;;;;89.269,73;
;Folha de Pagamento;;;;;;;;1.124.882,58;;;;;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;2.293,86;
;Férias;;;;;;;;28.674,32;;;;;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;69,30;
;Adiantamento de 13º Salário;;;;;;;;0,00;;;;;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;1.952,10;
;Rescisão;;;;;;;;16.975,08;;;;;;;;;;;;;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;120,49;
;Complemento de Folha com Encargos;;;;;;;;1.506,15;;;;;;;;;;;;;;0,00;
;Total a Recolher;;;;;;;;1.172.038,13;;;;98.598,92;;;1.175.812,98;;;;93.705,48;;;0,00;
RESUMO DA GFIP;;;;;;;;;;;;;;;;;;;;;;;;
FGTS;;;;;;;;;;;Base de Cálculo;;;;;Valor;;;;;;Contrib. Social;;
;Adiantamento de Folha;;;;;;0,00;;;;;;;0,00;;;;;;0,00;;;;
;Folha de Pagamento;;;;;;1.119.964,29;;;;;;;89.269,73;;;;;;0,00;;;;
;Compl. de Folha com Encargos;;;;;;1.906,04;;;;;;;120,49;;;;;;0,00;;;;
;Férias;;;;;;28.674,32;;;;;;;2.293,86;;;;;;0,00;;;;
;Adiantamento de 13º Salário;;;;;;866,25;;;;;;;69,30;;;;;;0,00;;;;
;Rescisão;;;;;;7.013,77;;;;;;;561,07;;;;;;0,00;;;;
;;13º Salário;;;;;2.090,95;;;;;;;167,27;;;;;;0,00;;;;
;Empregadores;;;;;;0,00;;;;;;;0,00;;;;;;0,00;;;;
;Total;;;;;;1.158.424,67;;;;;;;92.314,45;;;;;;0,00;;;;
INSS;;;;;;;;;;;Base de Cálculo;;;;;Valor;;;;;;;;
;Adiantamento de Folha;;;;;;0,00;;;;;;;0,00;;;;;;;;;;
;Folha de Pagamento;;;;;;1.124.882,58;;;;;;;94.767,93;;;;;;;;;;
;Compl. de Folha com Encargos;;;;;;1.506,15;;;;;;;142,52;;;;;;;;;;
;Férias;;;;;;28.674,32;;;;;;;2.392,12;;;;;;;;;;
;Rescisão;;;;;;11.149,28;;;;;;;859,46;;;;;;;;;;
;;13º Salário;;;;;5.825,80;;;;;;;436,89;;;;;;;;;;
;Empregadores;;;;;;0,00;;;;;;;0,00;;;;;;;;;;
;Autônomos;;;;;;0,00;;;;;;;0,00;;;;;;;;;;
;Total;;;;;;1.172.038,13;;;;;;;98.598,92;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Fim
